career,Q1_realistic,Q2_investigative,Q3_artistic,Q4_social,Q5_enterprising,Q6_conventional,Q7_math,Q8_communication,Q9_technical,Q10_design,Q11_work_env,Q12_team_size,Q13_risk,Q14_pace,Q15_values,Q16_prefers,Q17_balance,Q18_education,Q19_subjects,Q20_coding,Q21_indoor,Q22_age,Q23_problem_text,Q24_dream_text,Q25_skill_text,annual_salary,total_employment,required_skills
Data Scientist,2.53,6.81,2.63,1.93,1.72,4.61,5,3,5,1,Remote,Small (2-5),Medium,Varies,High salary,Data,Somewhat,Masters,Science/Math,Advanced,Strongly indoor,18-22,I love building predictive models that learn from historical data to forecast future,I would run my own data consultancy helping companies make smarter decisions,I am known for my patience in cleaning and structuring messy datasets,108020,192000,Python | Statistics | Machine Learning | SQL | Data Visualization | Pandas | Communication | NumPy
Business Consultant,1.0,5.82,1.81,2.77,4.97,5.77,4,5,1,2,Office,Large (20+),High,Fast-paced,High salary,Ideas,Very,Pursuing,Commerce/Business,Never,Mostly indoor,23-27,I get excited by the variety of industries and complex problems I get to work on each month,I would specialize in digital transformation and help traditional companies genuinely evolve,Colleagues say my slide decks and presentations are always the clearest in every single room,99410,1000000,Active Listening | Reading Comprehension | Critical Thinking | Judgment and Decision Making | Complex Problem Solving | Speaking | Monitoring | Writing
Cybersecurity Analyst,4.07,4.53,1.81,1.77,2.86,5.89,5,3,4,2,Office,Solo,High,Fast-paced,High salary,Data,Extremely,Masters,Mixed,Advanced,Strongly indoor,18-22,I enjoy reverse engineering malware and understanding how attacks work internally,I would develop open source security tools used by defenders worldwide,I am known for staying calm and methodical when systems are under active attack,102600,168900,Reading Comprehension | Critical Thinking | Active Listening | Speaking | Writing | Monitoring | Complex Problem Solving | Active Learning
Civil Engineer,6.25,4.82,2.61,2.07,2.65,4.83,4,2,5,1,Outdoor,Medium (6-20),Low,Moderate,Job stability,Physical things,Very,Bachelors,Science/Math,Never,Both equally,18-22,I enjoy finding ways to build infrastructure that will last for hundreds of years,I would create transportation networks that connect isolated communities to opportunity,People say I have unusual ability to anticipate construction problems before they occur,88050,329800,Reading Comprehension | Critical Thinking | Active Listening | Mathematics | Speaking | Complex Problem Solving | Writing | Monitoring
Software Engineer,2.54,5.32,2.29,2.5,2.64,5.52,5,3,5,4,Remote,Small (2-5),Medium,Fast-paced,High salary,Ideas,Very,Bachelors,Science/Math,Expert,Strongly indoor,18-22,I love debugging complex systems and finding elegant solutions to logic problems,I would build open source tools that millions of developers use every day,People say I explain technical concepts in a very clear and simple way,130160,1847900,Programming | Reading Comprehension | Critical Thinking | Active Listening | Writing | Speaking | Judgment and Decision Making | Complex Problem Solving
Entrepreneur,2.71,2.09,1.01,3.41,5.9,5.88,3,3,3,4,Flexible,Large (20+),High,Fast-paced,Creative freedom,Ideas,Somewhat,Pursuing,Commerce/Business,Never,Both equally,23-27,I love identifying gaps in the market and imagining products that could perfectly fill them,I would build a company that disrupts an entire industry and creates thousands of good jobs,People say I have an exceptional ability to sell ideas and inspire others to join my vision,129420,3240000,Active Listening | Monitoring | Speaking | Reading Comprehension | Critical Thinking | Management of Personnel Resources | Social Perceptiveness | Coordination
Psychologist,2.21,5.97,2.16,5.46,1.84,3.78,3,4,2,2,Flexible,Large (20+),Medium,Moderate,Making impact,People,Somewhat,Bachelors,Arts/Humanities,Never,Mostly indoor,23-27,I get deeply engaged when helping someone untangle complex emotional patterns,I would research the psychology of happiness and what makes humans truly flourish,Friends always come to me with their personal problems and emotional struggles,81040,181600,Reading Comprehension | Active Listening | Social Perceptiveness | Writing | Speaking | Critical Thinking | Judgment and Decision Making | Active Learning
Software Engineer,3.28,5.51,2.24,1.61,1.76,5.55,4,3,4,4,Remote,Small (2-5),Medium,Fast-paced,High salary,Ideas,Very,Pursuing,Science/Math,Expert,Strongly indoor,23-27,I love automating repetitive tasks and making entire systems more efficient,I would build developer tools that make programming ten times faster,People always ask me to review their code and system architecture designs,130160,1847900,Programming | Reading Comprehension | Critical Thinking | Active Listening | Writing | Speaking | Judgment and Decision Making | Complex Problem Solving
Content Creator,1.37,3.63,3.55,2.64,3.5,4.57,2,5,2,5,Remote,Solo,High,Varies,Creative freedom,Mix of all,Not,Bachelors,Arts/Humanities,Never,Strongly indoor,18-22,I enjoy the puzzle of making educational content feel entertaining and completely irresistible,I would create a content platform that gives a voice to stories that are never heard,People say I can make any topic feel fascinating and worth sharing with everyone,73690,165000,Writing | Reading Comprehension | Active Listening | Speaking | Critical Thinking | Active Learning | Judgment and Decision Making | Social Perceptiveness
Psychologist,1.51,5.88,3.95,5.77,3.23,3.46,1,4,1,1,Flexible,Large (20+),Medium,Moderate,Making impact,People,Very,Bachelors,Arts/Humanities,Never,Mostly indoor,18-22,I get deeply engaged when helping someone untangle complex emotional patterns,I would research the psychology of happiness and what makes humans truly flourish,Friends always come to me with their personal problems and emotional struggles,81040,181600,Reading Comprehension | Active Listening | Social Perceptiveness | Writing | Speaking | Critical Thinking | Judgment and Decision Making | Active Learning
Mechanical Engineer,6.65,4.59,1.78,1.8,1.65,4.08,4,2,5,3,Flexible,Medium (6-20),Medium,Moderate,Job stability,Physical things,Somewhat,PhD,Science/Math,Never,Both equally,28-35,I love solving engineering problems where physics and creativity must work together,I would work on space exploration hardware that expands human reach in the universe,Colleagues say I can spot a design flaw in a mechanical system almost instantly,96310,303400,Reading Comprehension | Critical Thinking | Active Listening | Complex Problem Solving | Mathematics | Speaking | Judgment and Decision Making | Science
Marketing Manager,1.0,3.7,1.36,2.9,6.29,4.87,2,4,1,4,Office,Medium (6-20),Medium,Fast-paced,Fame/recognition,People,Extremely,Bachelors,Commerce/Business,Basic,Mostly indoor,18-22,I enjoy finding the one insight about customers that changes everything about strategy,I would build a community around a brand so strong it markets itself organically,People say I can write copy that makes people feel understood and compelled to act,171520,384980,Reading Comprehension | Persuasion | Critical Thinking | Speaking | Active Listening | Active Learning | Monitoring | Social Perceptiveness
Biotechnologist,5.17,7.0,3.13,3.37,2.46,3.85,4,2,4,2,Lab,Small (2-5),Medium,Slow and steady,Making impact,Physical things,Extremely,Bachelors,Science/Math,Intermediate,Mostly indoor,18-22,I love engineering biological systems to solve problems that medicine cannot yet solve,I would develop gene therapies that cure genetic diseases once thought completely incurable,People say I have exceptional patience for the very slow and meticulous laboratory work,102270,37400,Science | Reading Comprehension | Active Learning | Critical Thinking | Writing | Speaking | Mathematics | Active Listening
Mechanical Engineer,6.4,5.53,2.07,1.1,1.8,4.74,5,2,4,2,Flexible,Medium (6-20),Medium,Moderate,Job stability,Physical things,Not,Bachelors,Science/Math,Never,Both equally,28-35,I love designing physical systems and watching them actually work in the real world,I would design the next generation of electric vehicles that transform transportation,People say I have an exceptional ability to visualize exactly how physical systems work,96310,303400,Reading Comprehension | Critical Thinking | Active Listening | Complex Problem Solving | Mathematics | Speaking | Judgment and Decision Making | Science
Architect,4.76,4.4,2.76,3.77,4.29,4.69,4,2,3,4,Flexible,Medium (6-20),High,Moderate,Creative freedom,Ideas,Somewhat,Bachelors,Mixed,Never,Both equally,23-27,I love solving the tension between beautiful design and real functional constraints,I would design sustainable cities that work in harmony with the natural environment,People say I have a remarkable ability to visualize complex three dimensional spaces,93310,128830,Reading Comprehension | Critical Thinking | Complex Problem Solving | Active Listening | Speaking | Writing | Judgment and Decision Making | Active Learning
Data Scientist,1.62,7.0,3.29,1.76,2.03,5.9,5,3,5,2,Remote,Small (2-5),Medium,Varies,High salary,Data,Not,Bachelors,Science/Math,Advanced,Strongly indoor,23-27,I enjoy using statistical methods to answer questions with no obvious answer,I would use machine learning to solve climate change and environmental problems,My professors always praised my statistical thinking and analytical approach,108020,192000,Python | Statistics | Machine Learning | SQL | Data Visualization | Pandas | Communication | NumPy
Psychologist,1.34,5.82,3.85,6.24,2.63,4.15,2,5,3,2,Flexible,Large (20+),Medium,Moderate,Making impact,People,Not,HighSchool,Arts/Humanities,Never,Mostly indoor,23-27,I love designing research studies that reveal truths about human psychology,I would create therapy approaches that help people recover faster from trauma,Colleagues say I can build therapeutic rapport with clients unusually quickly,81040,181600,Reading Comprehension | Active Listening | Social Perceptiveness | Writing | Speaking | Critical Thinking | Judgment and Decision Making | Active Learning
Psychologist,2.21,5.98,3.87,6.35,3.51,4.34,2,5,1,1,Flexible,Large (20+),Medium,Moderate,Making impact,People,Extremely,Pursuing,Arts/Humanities,Never,Mostly indoor,18-22,I feel fulfilled when I help someone break through a mental barrier holding them back,I would write books that help people understand and genuinely improve their mental health,People say I can read emotions and sense how someone is feeling without any words,81040,181600,Reading Comprehension | Active Listening | Social Perceptiveness | Writing | Speaking | Critical Thinking | Judgment and Decision Making | Active Learning
Mechanical Engineer,6.87,4.59,2.59,1.29,1.13,4.56,5,1,5,3,Flexible,Medium (6-20),Medium,Moderate,Job stability,Physical things,Very,Bachelors,Science/Math,Never,Both equally,35+,I love designing physical systems and watching them actually work in the real world,I would design the next generation of electric vehicles that transform transportation,People say I have an exceptional ability to visualize exactly how physical systems work,96310,303400,Reading Comprehension | Critical Thinking | Active Listening | Complex Problem Solving | Mathematics | Speaking | Judgment and Decision Making | Science
Software Engineer,3.61,6.1,2.59,2.37,1.75,5.75,5,4,4,3,Remote,Small (2-5),Medium,Fast-paced,High salary,Ideas,Extremely,Bachelors,Science/Math,Expert,Strongly indoor,18-22,I enjoy designing clean APIs and writing maintainable readable code,I would contribute to AI systems that genuinely help people in daily life,My peers say I can pick up any new technology extremely quickly,130160,1847900,Programming | Reading Comprehension | Critical Thinking | Active Listening | Writing | Speaking | Judgment and Decision Making | Complex Problem Solving
Psychologist,1.97,5.55,3.83,5.0,2.33,3.93,3,4,2,3,Flexible,Large (20+),Medium,Moderate,Making impact,People,Very,Bachelors,Arts/Humanities,Never,Mostly indoor,18-22,I get deeply engaged when helping someone untangle complex emotional patterns,I would research the psychology of happiness and what makes humans truly flourish,Friends always come to me with their personal problems and emotional struggles,81040,181600,Reading Comprehension | Active Listening | Social Perceptiveness | Writing | Speaking | Critical Thinking | Judgment and Decision Making | Active Learning
Lawyer,2.09,5.0,2.0,4.1,5.32,4.8,1,4,2,2,Office,Large (20+),Low,Moderate,High salary,People,Very,Masters,Arts/Humanities,Never,Mostly indoor,18-22,I enjoy the challenge of advocating for someone who cannot speak for themselves,I would become a judge who interprets laws with fairness and deep legal wisdom,I am known for my ability to research deeply and build completely airtight arguments,145760,813900,Active Listening | Speaking | Critical Thinking | Reading Comprehension | Writing | Persuasion | Judgment and Decision Making | Negotiation
